store_name,store_code,area
억대국수,1223065408,신시가지
밥꽃세상,1445418297,신시가지
승구우동,1424976637,신시가지
두찜 전주효자점,1283204283,신시가지
던킨 전주대점,1912880412,신시가지
백채김치찌개 전북도청점,2005819407,신시가지
이디야커피 전주신시가지점,1474180441,신시가지 
카츠모리조,1106670769,객사
가마,34006669,객사
정동 전주객사점,1414005185,객사
생활맥주 전주객리단길점,1034080506,객사
르프랭크,2045705129,객사
치히로,1710381899,객사
누보닭갈비,1465327582,객사
파도산장,2064592564,객사
디저트39 전주 객사점,1496680906,객사
플랫메이트,2014405010,객사
오두막창 전주객사점,2096717957,객사
세모 객리단길점,2089920251,객사
다가생구이 본점,1053590271,객사
중앙동고깃집,1146796327,객사
옐로우팜 전주객사점,2066468826,객사
포담 전주시청점,1270117665,객사
평화와평화,1952498498,객사
헤이스트릿,1990743046,객사
야화 혼술바 전주웨리단길점,2068753793,객사
몽유도 전주본점,1479244783,객사
원스타임오프 전주한옥마을점,1142633504,객사
풍년제과 본점,33277058,객사
깁미타코 전주점,1228549320,객사
도파멘,1253081680,객사
서양주택,452736623,객사
가마,34006669,객사
비의소리처럼,1893325633,객사
이탈리돈,1857315164,객사
지복점,1816492689,객사
무국 무국적식당,1998373722,객사
프프프,1294076251,객사
돈카츠흑심 본점,1912261696,객사
라스트쿠프,1278183399,객사
하숙영가마솥비빔밥,13342936,객사
모악산호랭이,1182231719,객사
홍시궁 객리단길 본점,1983574095,객사
해율담,1378360471,객사
성미당,11707231,객사
제일제과,1595618342,객사
파스톨로지,1827022117,객사
진할머니갈비국밥,1196809444,객사
한일,1677260338,객사
다이닝스푼,35877123,객사
정동 전주객사점,1414005185,객사
진수곱창,1209017055,객사
피콜로,1528624932,객사
부코,2023983935,객사
어시장,1373174099,객사
미토,1876864852,객사
라스트위크,1796567192,객사
제너럴도넛샵,1448673516,객사
구프오프 전주본점,1848527934,객사
블렌딩바 본점 전주혼술바,1307182354,객사
규카츠정 객리단길 본점,385041959,객사
미성 객사점,1841425556,객사
조점례남문피순대,11797314,객사
까치산장,2043327384,객사
노트릭,1161529397,객사
온담 전주본점,1972076667,객사
가득,1849726774,객사
가족회관,36410653,객사
동영커피,582918134,객사
시선 전주본점,1124540853,객사
피콜로,1528624932,객사
애슐리퀸즈 NC전주점,1027643053,객사
요리주점 도무,2093814426,객사
올리오,2024235411,객사
슬록,1010663065,객사
청년다방 전주객사점,1727023950,객사
비바더레스트,1070065133,객사
PNB 풍년제과 본점,16784383,객사
라디앙뜨 전주객사본점,1111423392,객사
오타마 객리단길본점,1083787996,객사
할리스 전주시네마점,1595123268,객사
원조함흥냉면,16805214,객사
현대옥 남부시장점,12067777,객사
동포,2068654291,객사
프로젝트엑스,1261241229,객사
양세마리훠궈앤마라탕,1008478759,객사
연지본관,32680698,객사
시골촌,16803549,객사
또순이네집,16804359,객사
삼백집 전주 본점,11658492,객사
맥락 브루어리,1864258281,객사
맥락 브루어리,1864258281,객사
로쏘파스타바,1535948281,객사
숯토리 객리단길본점,1214054969,객사
효자막창 객사본점,51072003,객사
일품향,33276363,객사
수정관,16984722,객사
일층집 객리단길점,1487010537,객사
피자몰 뷔페 NC 전주점,37130035,객사
샘샘커피,1889729599,객사
인디카이브,2058620663,객사
동락,16781259,객사
카페한채,1944190795,객사
양식당,36854548,객사
버거킹 전주중앙점,38700486,객사
초로초로,1457716622,객사
대보장,16783235,객사
걸프델리마켓,1174729028,객사
서울소바,16778934,객사
스시미라이,1022849474,객사
동창갈비,32417688,객사
전주맛집한림옥,1046726141,객사
지속,2005756586,객사
비레레,1402135242,객사
호시마츠생라멘,1401920404,객사
취향 객리단길점,2087138157,객사
야키토리동작 전주객리단길점,2086899405,객사
사거리포차,2053436287,객사
효자수산,1211651329,객사
델리호응 객사점,1280146422,객사
모던조옥발,2088133129,객사
해요,1271296267,객사
노벨반점,16798232,객사
백일몽,1709596195,객사
우천칡냉면,19567237,객사
대설 전주객사점,2058548835,객사
롯데리아 전주고사점,1360137413,객사
듀숑,35886106,객사
스타벅스 전주경원점,21007571,객사
파스톨로지,1827022117,객사
딜런,1336249613,객사
빛의 안부,1756644122,객사
CAFE DUMBO,1279061709,객사
써브웨이 전주객사점,1704519442,객사
현해탄,1130736371,객사
은주 객리단길점,2055607359,객사
야키토리고집,1638455823,객사
두끼 NC전주객사점,37130027,객사
돼지박사1997,20056156,객사
라와마라탕 전주고사점,1542668054,객사
위드스페이스,1992191930,객사
크러스트,1118587146,객사
전일갑오,2005508021,객사
고향역 전주객사본점,1958961333,객사
가비마실,1524234266,객사
소노야,21030798,객사
바라카힐,2025001712,객사
노스 전주 웨리단길점,1608957257,객사
탕화쿵푸마라탕 전주객사점,2085305237,객사
오얏리,1503288030,객사
메가MGC커피 전주고사객사길점,2096174197,객사
투썸플레이스 전주영화의거리점,1771840072,객사
씨즐리,1783607494,객사
두왓유럽,1695901000,객사
오일내 객사점,1574132966,객사
유쿄니 객사점,1773539245,객사
콜터,1056191924,객사
그룸,1497291844,객사
화온주가,2086499529,객사
자유식당,16797427,객사
김밥이야기,16802391,객사
마래당,1764992257,객사
제너럴도넛샵,1448673516,객사
왕초바베큐 전주객사점,1932533858,객사
천지양꼬치 객리단길점,1457230465,객사
전주 초장집 막장집 본점,16800829,객사
아서원1920 전주한옥마을꽃심호텔점,2099020069,객사
착한다슬기,1202509739,객사
소음,1227022284,객사
우진면가,2072870414,객사
클래식컵,2023673938,객사
풍남문비빔밥,1255038354,객사
슬로우타운,1935874437,객사
포포포,2024883774,객사
부영상회 객리단길본점,1508456660,객사
노매딕 비어템플,1540656416,객사
원,1191576085,객사
메가MGC커피 전주한옥마을경기전점,1457865014,객사
설빙 전주객사점,34329453,객사
옛날피순대,37362493,객사
피자브릭 객사본점,1515418830,객사
백수의 찬,921686615,객사
경아분식,21675777,객사
효자문식당,19886060,객사
마시코히,2090968610,객사
카페윌,1564147942,객사
사람사이사람,1991921411,객사
호텔아프리카,2046387072,객사
포도시커피,1080439450,객사
버드웍스,2093265922,객사
호리,1579003040,객사
보라식당,1200947549,객사
초밥장이,36283027,객사
마리오,1574316704,객사
홈댄스,2081154574,객사
우동로 삼거리제면소,2088108062,객사
긴자료코 전주객사점,1476589207,객사
역전할머니맥주 전주객사점,1389501265,객사
배짱 전주,1682112843,객사
마일스톤즈,1096771778,객사
본죽&비빔밥 전주객사점,1436161593,객사
은인,2094566071,객사
남문손칼국수,20944331,객사
플뢰르,1453928815,객사
고수닭갈비 영화의거리점,1162536025,객사
올드테디 전주객리단길점,1802270722,객사
검은깃 사운드,2019284489,객사
소동 전주웨리단길점,1266835037,객사
후켄 객리단길점,1217068669,객사
이코히,1394510757,객사
제주아홉 혼술바 전주점,2098894496,객사
스몰디쉬 앤 와인바 피스앤러브,1249665572,객사
감로헌,17126471,객사
영흥관,16788648,객사
디드,1318432283,객사
산쪼메 전주객사점,1261214493,객사
풍남문식당,1142492181,객사
베이스,2056819777,객사
엉터리생고기 두번째이야기 무한삼겹 객사점,37912399,객사
블렌딩바 뮤직 전주혼술바,1676630599,객사
