업체코드,ID(작성자),리뷰 내용,작성일,평가 카테고리
2064592564,쓰리공쥬맘,첫방문!가게가깔끔해요직원분들친절하세요~주문한음식마다신선도가쵝오👍거북손도처음접해봤는데색다른맛&경험이네요ㅎ아쉽게도지금은호래기회가안된다고ㅠ겨울에된다고ㅎㅎ재방문각이네요~^^,2026년 5월 27일 수요일,음식이 맛있어요_재료가 신선해요_특별한 메뉴가 있어요_친절해요_매장이 청결해요_
2064592564,햅삐현,벌써세번째방문입니당!메뉴도다른술집에서안파는메뉴들이구신선해서자주방문하고싶은곳이예요~~!인기많아서주말엔예약하고방문해여할거같아용오늘도맛있게먹고갑니당,2026년 5월 26일 화요일,음식이 맛있어요_재료가 신선해요_특별한 메뉴가 있어요_
1496680906,glwl****,#객사카페추천#전주디저트여기분위기도좋고음료도맛있고디저트도맛있어요다들꼭한번씩와보세요,2026년 6월 15일 월요일,음료가 맛있어요_인테리어가 멋져요_
1496680906,배하늘758,#객사카페추천#전주디저트여기또오네요진짜로여기좋아용할거없으면여기오세용여러분들강추입니당!!,2026년 6월 15일 월요일,커피가 맛있어요_디저트가 맛있어요_인테리어가 멋져요_사진이 잘 나와요_매장이 넓어요_
1496680906,am****,치즈프로마쥬바닐라라떼죠아요,2026년 6월 15일 월요일,커피가 맛있어요_디저트가 맛있어요_음료가 맛있어요_
1496680906,wpd72,아이스티를진짜좋아하는데디저트39꺼는코코넛젤리가들어가서더맛있어요!맛있게잘마셨습니다:),2026년 6월 14일 일요일,음료가 맛있어요_가성비가 좋아요_친절해요_매장이 청결해요_매장이 넓어요_
1496680906,안뇽하이,매장이넓고제로칼로리음료가있어서너무좋아요!,2026년 6월 14일 일요일,디저트가 맛있어요_인테리어가 멋져요_친절해요_매장이 청결해요_좌석이 편해요_
1496680906,SH543,넓고쾌적해서좋아요#객사카페추천#전주디저트,2026년 6월 14일 일요일,커피가 맛있어요_
1496680906,qha****,간만객사왔다가디저트39행!망고스무디랑너무맛있게먹었어요!베비랑함께오기좋은장소!,2026년 6월 14일 일요일,음료가 맛있어요_대화하기 좋아요_아이와 가기 좋아요_
1496680906,다니313,밤늦게까지하는곳인데음료종류도많아서너무좋아요🤍음료도다맛있어요!,2026년 6월 13일 토요일,커피가 맛있어요_디저트가 맛있어요_음료가 맛있어요_집중하기 좋아요_매장이 넓어요_
1496680906,straww,객사카페추천합니다!전주에서디저트도먹고공부하기좋아요,2026년 6월 13일 토요일,커피가 맛있어요_디저트가 맛있어요_집중하기 좋아요_
1496680906,어어어어,소금빵이너무맛있어요.우유크림이나먹으면정말굿이에요객사카페추천전주디저트,2026년 6월 13일 토요일,디저트가 맛있어요_사진이 잘 나와요_
1496680906,kzuh6,좋아요,2026년 6월 13일 토요일,커피가 맛있어요_
1496680906,쿠쿠하세요쿠쿠94,매장도넓고음료도맛있어요무엇보다메뉴가빨리나와서좋아요!,2026년 6월 13일 토요일,커피가 맛있어요_디저트가 맛있어요_음료가 맛있어요_
1496680906,뀨39381,너무조아용!깔끔하구여기딸기라떼짱맛잇음ㅋ,2026년 6월 13일 토요일,커피가 맛있어요_
1496680906,KMH39,맛있어요.공간이넓어요,2026년 6월 13일 토요일,커피가 맛있어요_인테리어가 멋져요_친절해요_오래 머무르기 좋아요_
1496680906,배하늘758,#객사카페추천#전주디저트여기제가맨날오는곳입니당진짜진짜넓고음료도다맛있어요!여기소금빵도대따맛있습니당!!꼭먹으세용할거없으면꼭오는곳같아요진짜편하고좋아요여기강추입니당!!!!,2026년 6월 12일 금요일,커피가 맛있어요_디저트가 맛있어요_사진이 잘 나와요_매장이 넓어요_친절해요_
1496680906,air****,시험기간에항상오는곳!!음료도맛있고인테리어도너무이뻐요ㅜㅜ전주디저트중에제일맛있는것같아요!!객사카페추천💕,2026년 6월 12일 금요일,인테리어가 멋져요_커피가 맛있어요_디저트가 맛있어요_음료가 맛있어요_가성비가 좋아요_
1496680906,아나은서,객사카페추천!친구들이랑왔어요✌🏻,2026년 6월 12일 금요일,음료가 맛있어요_
1496680906,쿠쿠하세요쿠쿠94,음료도빨리나와서좋고매장도넓어서편해요🩷,2026년 6월 12일 금요일,커피가 맛있어요_디저트가 맛있어요_음료가 맛있어요_
1496680906,ash****,음료도빨리나와서좋고매장도넓어서편해요🩷,2026년 6월 12일 금요일,커피가 맛있어요_디저트가 맛있어요_음료가 맛있어요_
1496680906,서연4611,쿠키존맛💗,2026년 6월 12일 금요일,디저트가 맛있어요_
1496680906,project44,"너무기분나빠서처음으로리뷰씁니다.전주관광호텔에서할인쿠폰2장받고쓰려고하니처음에는쿠폰1장밖에못쓴다고해서""그럼결제를2번으로나누면되나요?""라고물어보았습니다.그래서직원분이시큰둥한표정으로""아...네그렇게해드릴게요.""라고했습니다.저희는관광으로온거라서이쿠폰을쓸일이잘없어서2장받은거를다쓰려고했습니다.그후음료를받을때다른손님들과다르게포장에빨대와봉투를안챙겨주시더라고요.이러한경험은저희가쿠폰을2개사용해서받은차별적인대우라고느껴질수있을거같습니다.다음부터는조심해주시길바랍니다.",2026년 6월 12일 금요일,음료가 맛있어요_
1496680906,ysy****,개맛도리에요단골이에요,2026년 6월 11일 목요일,커피가 맛있어요_디저트가 맛있어요_특별한 메뉴가 있어요_매장이 넓어요_사진이 잘 나와요_
1496680906,051****,#객가카페추천#전주디저트객사카페추천합니다!카페도넓고놀거리(얼음깨기등많음)도많고디저트도너무맛있음!!!전주디저트는여기추천!!,2026년 6월 10일 수요일,커피가 맛있어요_디저트가 맛있어요_음료가 맛있어요_매장이 넓어요_
1496680906,jin****,맛잇어여!!!아이스티추처납니다,2026년 6월 10일 수요일,양이 많아요_매장이 넓어요_단체모임 하기 좋아요_대화하기 좋아요_
1496680906,쿠쿠하세요쿠쿠94,매장도넓고시원해요감사합미당,2026년 6월 10일 수요일,커피가 맛있어요_디저트가 맛있어요_음료가 맛있어요_
1496680906,kzuh6,좋아요,2026년 6월 10일 수요일,커피가 맛있어요_
1496680906,Hd33,넘맛있어서금방다마셨어요!!,2026년 6월 9일 화요일,커피가 맛있어요_매장이 넓어요_친절해요_
1496680906,jiy****,양엄청많고맛있어요!,2026년 6월 9일 화요일,인테리어가 멋져요_사진이 잘 나와요_매장이 넓어요_커피가 맛있어요_음료가 맛있어요_
1496680906,쿠쿠하세요쿠쿠94,매장도넓고음료도맛있어요편히쉬다갑니다💕,2026년 6월 9일 화요일,음료가 맛있어요_디저트가 맛있어요_가성비가 좋아요_
1496680906,kzuh6,조아요,2026년 6월 9일 화요일,커피가 맛있어요_디저트가 맛있어요_
1496680906,꿈꾸는별하나,맛있어오ㆍ시설도깨끗하고좋아요,2026년 6월 9일 화요일,커피가 맛있어요_디저트가 맛있어요_
1496680906,소리서아,맛있어오ㆍ시설도깨끗하고좋아요,2026년 6월 8일 월요일,커피가 맛있어요_디저트가 맛있어요_사진이 잘 나와요_인테리어가 멋져요_
1496680906,kzuh6,분할결제가안되는거빼고는좋아요,2026년 6월 7일 일요일,커피가 맛있어요_
1496680906,pon****,객사카페추천합니다.음료도맛있고가격도괜찮은데디저트도가격이싼데맛과퀄리티도꽤좋더라고요.전주디저트는여기추천합니다,2026년 6월 7일 일요일,커피가 맛있어요_음료가 맛있어요_매장이 넓어요_
1496680906,kim****,더웠는데저렴한제로음료팔아서좋았어여🫶🫶,2026년 6월 7일 일요일,음료가 맛있어요_
1496680906,dns****,음료종류도다양하고맛있는게많아서좋아요~사진찍는곳도있어서아이와재미삼아찍기에도좋네요^^,2026년 6월 7일 일요일,커피가 맛있어요_음료가 맛있어요_가성비가 좋아요_매장이 넓어요_
